Category,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,Support
Building,28,13,5,414,0.6829,0.8485,0.7568,0.8485,33
Content,68,0,1,391,1.0,0.9855,0.9927,0.9855,69
Humans,240,9,18,193,0.9639,0.9302,0.9467,0.9302,258
Icon,22,2,0,436,0.9167,1.0,0.9565,1.0,22
Logo's,61,3,2,394,0.9531,0.9683,0.9606,0.9683,63
Theme,11,0,0,449,1.0,1.0,1.0,1.0,11
monochrome,3,0,1,456,1.0,0.75,0.8571,0.75,4
macro_avg,,,,,0.9309,0.9261,0.9243,0.9261,460
weighted_avg,,,,,0.9466,0.9413,0.9428,0.9413,460
