Category,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,Support
Building,24,58,9,369,0.2927,0.7273,0.4174,0.7273,33
Content,68,6,1,385,0.9189,0.9855,0.951,0.9855,69
Humans,192,13,66,189,0.9366,0.7442,0.8294,0.7442,258
Icon,22,4,0,434,0.8462,1.0,0.9167,1.0,22
Logo's,54,5,9,392,0.9153,0.8571,0.8852,0.8571,63
Theme,11,0,0,449,1.0,1.0,1.0,1.0,11
monochrome,3,0,1,456,1.0,0.75,0.8571,0.75,4
macro_avg,,,,,0.8442,0.8663,0.8367,0.8663,460
weighted_avg,,,,,0.8826,0.813,0.8342,0.813,460
