True Label,Building,Content,Humans,Icon,Logo's,Theme,monochrome,unknown,Total
Building,24,0,9,0,0,0,0,0,33
Content,0,68,1,0,0,0,0,0,69
Humans,58,0,192,3,5,0,0,0,258
Icon,0,0,0,22,0,0,0,0,22
Logo's,0,6,2,1,54,0,0,0,63
Theme,0,0,0,0,0,11,0,0,11
monochrome,0,0,1,0,0,0,3,0,4
Total,82,74,205,26,59,11,3,0,460
