True Label,antelope,badger,bat,bear,bee,beetle,bison,boar,butterfly,cat,caterpillar,chimpanzee,cockroach,cow,coyote,crab,crow,deer,dog,dolphin,donkey,dragonfly,duck,eagle,elephant,flamingo,fly,fox,goat,goldfish,goose,gorilla,grasshopper,hamster,hare,hedgehog,hippopotamus,hornbill,horse,hummingbird,hyena,jellyfish,kangaroo,koala,ladybugs,leopard,lion,lizard,lobster,mosquito,moth,mouse,octopus,okapi,orangutan,otter,owl,ox,oyster,panda,parrot,pelecaniformes,penguin,pig,pigeon,porcupine,possum,raccoon,rat,reindeer,rhinoceros,sandpiper,seahorse,seal,shark,sheep,snake,sparrow,squid,squirrel,starfish,swan,tiger,turkey,turtle,unknown,whale,wolf,wombat,woodpecker,zebra,Total
seal,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,0,1,0,2,0,0,0,0,1,1,0,2,0,1,1,2,1,1,0,0,1,0,0,0,0,2,0,0,0,2,2,0,3,0,7,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,60
shark,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,15,0,0,0,1,0,0,0,0,1,9,0,8,0,0,1,0,60
sheep,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,1,1,0,0,0,5,2,1,1,2,1,0,0,0,1,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0,0,1,0,6,1,1,0,0,1,1,0,1,0,0,0,3,1,0,0,60
snake,0,0,3,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,2,1,0,2,2,0,2,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,1,6,0,2,0,0,1,0,1,1,0,0,1,0,0,0,60
sparrow,4,0,1,0,0,0,2,0,0,1,2,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,1,1,2,0,0,1,0,2,0,0,1,0,0,0,4,1,1,1,1,2,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,60
squid,1,0,4,2,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,2,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,13,0,1,2,1,0,2,0,0,0,0,0,0,60
squirrel,2,0,0,0,0,0,0,1,0,1,2,2,0,1,1,1,0,0,2,0,3,1,0,2,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,2,1,1,0,3,0,1,1,0,0,1,0,0,2,2,0,7,0,0,0,0,0,0,0,0,3,0,0,60
starfish,2,0,2,1,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,2,0,0,1,0,2,3,0,0,1,3,1,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0,2,0,1,0,0,1,1,0,1,0,6,0,0,2,1,0,0,0,1,0,0,60
swan,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,2,0,1,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,0,1,0,0,2,0,0,3,0,2,0,4,0,2,0,0,0,1,1,1,1,8,0,0,0,0,0,1,0,0,0,60
tiger,0,0,0,3,0,0,3,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,3,1,0,0,0,1,0,2,0,1,3,1,0,0,0,0,11,0,0,0,0,0,2,0,0,60
turkey,1,2,0,2,0,0,1,1,1,0,1,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,2,0,0,0,0,0,1,2,1,2,0,0,0,1,2,1,1,3,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,60
turtle,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,3,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,2,1,6,1,0,0,0,0,1,0,1,0,12,0,2,1,0,0,1,60
whale,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,1,0,0,2,1,1,0,0,2,0,0,0,2,5,0,0,1,0,1,2,0,1,1,3,0,11,1,0,1,1,60
wolf,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,0,1,1,1,0,1,0,0,3,0,0,0,0,0,0,1,1,1,1,2,2,1,1,3,0,0,0,0,1,0,0,4,1,0,0,1,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,3,1,0,60
wombat,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,2,0,0,3,3,1,0,1,0,0,0,2,8,0,0,60
woodpecker,0,2,0,0,0,2,0,1,1,2,0,0,0,0,2,1,0,3,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,2,1,0,1,1,0,1,3,0,1,0,4,0,1,1,0,0,1,0,0,1,1,0,8,0,60
zebra,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,2,0,1,0,1,0,2,3,0,0,0,0,0,2,1,0,0,0,0,3,1,9,60
Total,71,49,75,60,54,54,50,74,39,44,71,42,45,59,72,50,58,77,67,44,90,48,65,43,31,38,55,105,104,50,46,108,55,70,42,28,84,99,33,44,87,38,81,98,62,65,52,64,40,35,65,73,66,65,99,60,78,25,73,68,47,16,32,51,77,45,89,76,51,57,65,96,31,83,40,56,77,62,45,48,41,60,71,59,51,0,47,84,81,55,20,5400
